time,open,high,low,close,volume
2026-04-27 13:45:00,27430.5000,27437.2500,27426.0000,27435.7500,6371
2026-04-27 13:50:00,27435.2500,27440.0000,27416.2500,27424.0000,8317
2026-04-27 13:55:00,27423.7500,27430.5000,27420.2500,27428.7500,6244
2026-04-27 14:00:00,27428.7500,27428.7500,27417.5000,27422.0000,6231
2026-04-27 14:05:00,27421.7500,27433.7500,27419.0000,27433.2500,6088
2026-04-27 14:10:00,27432.7500,27435.5000,27427.0000,27429.5000,4595
2026-04-27 14:15:00,27430.0000,27436.7500,27426.2500,27433.0000,5282
2026-04-27 14:20:00,27433.2500,27436.0000,27428.7500,27432.7500,3837
2026-04-27 14:25:00,27432.7500,27434.5000,27421.7500,27428.5000,6055
2026-04-27 14:30:00,27428.0000,27434.5000,27422.0000,27424.5000,5030
2026-04-27 14:35:00,27424.5000,27429.0000,27420.5000,27421.5000,4733
2026-04-27 14:40:00,27421.5000,27424.2500,27405.7500,27411.5000,10402
2026-04-27 14:45:00,27411.5000,27412.0000,27395.2500,27406.2500,8855
2026-04-27 14:50:00,27405.7500,27413.2500,27391.0000,27393.2500,7427
2026-04-27 14:55:00,27393.0000,27407.5000,27391.7500,27399.5000,6717
2026-04-27 15:00:00,27399.7500,27408.0000,27393.2500,27400.0000,6342
2026-04-27 15:05:00,27400.0000,27404.2500,27389.7500,27399.0000,6766
2026-04-27 15:10:00,27399.2500,27416.0000,27393.7500,27413.7500,8701
2026-04-27 15:15:00,27413.7500,27428.5000,27412.0000,27425.0000,9318
2026-04-27 15:20:00,27424.7500,27429.7500,27418.5000,27422.2500,6501
2026-04-27 15:25:00,27422.5000,27428.5000,27417.5000,27423.2500,4979
2026-04-27 15:30:00,27423.2500,27437.5000,27422.0000,27429.7500,7742
2026-04-27 15:35:00,27429.7500,27435.2500,27407.7500,27427.0000,10764
2026-04-27 15:40:00,27427.0000,27430.0000,27416.0000,27429.2500,6424
2026-04-27 15:45:00,27429.5000,27445.0000,27427.5000,27443.5000,11957
2026-04-27 15:50:00,27443.5000,27452.2500,27433.7500,27439.0000,13333
2026-04-27 15:55:00,27439.2500,27449.5000,27430.2500,27444.7500,14147
2026-04-27 16:00:00,27444.7500,27446.0000,27424.7500,27428.0000,7437
2026-04-27 16:05:00,27428.0000,27431.2500,27422.5000,27425.5000,3086
2026-04-27 16:10:00,27425.0000,27435.5000,27423.2500,27427.5000,3182
2026-04-27 16:15:00,27426.7500,27433.7500,27421.2500,27423.5000,2410
2026-04-27 16:20:00,27423.5000,27424.7500,27410.7500,27414.5000,2249
2026-04-27 16:25:00,27414.0000,27425.2500,27414.0000,27424.7500,1289
2026-04-27 16:30:00,27425.0000,27430.7500,27423.7500,27426.0000,1262
2026-04-27 16:35:00,27425.7500,27439.7500,27425.5000,27435.0000,2097
2026-04-27 16:40:00,27435.0000,27436.0000,27431.7500,27434.2500,1269
2026-04-27 16:45:00,27434.2500,27437.2500,27428.7500,27432.0000,2039
2026-04-27 16:50:00,27431.7500,27433.2500,27426.0000,27428.7500,966
2026-04-27 16:55:00,27429.2500,27429.2500,27415.0000,27418.2500,1761
2026-04-27 18:05:00,27438.7500,27488.7500,27435.2500,27472.5000,5670
2026-04-27 18:10:00,27472.5000,27491.2500,27471.5000,27485.0000,2436
2026-04-27 18:15:00,27484.5000,27501.7500,27483.7500,27490.7500,3320
2026-04-27 18:20:00,27491.2500,27492.5000,27483.7500,27486.2500,1553
2026-04-27 18:25:00,27486.2500,27494.0000,27484.5000,27492.5000,968
2026-04-27 18:30:00,27492.5000,27499.0000,27491.7500,27494.7500,1740
2026-04-27 18:35:00,27494.0000,27495.7500,27488.7500,27494.7500,1163
2026-04-27 18:40:00,27494.5000,27498.0000,27489.7500,27496.0000,899
2026-04-27 18:45:00,27496.0000,27496.5000,27486.0000,27486.0000,1168
2026-04-27 18:50:00,27486.5000,27489.2500,27481.5000,27486.0000,1890
2026-04-27 18:55:00,27486.2500,27488.0000,27480.7500,27485.0000,991
2026-04-27 19:00:00,27485.5000,27489.5000,27483.2500,27489.0000,1206
2026-04-27 19:05:00,27488.5000,27489.7500,27474.5000,27478.2500,1674
2026-04-27 19:10:00,27478.2500,27484.2500,27475.7500,27478.5000,1528
2026-04-27 19:15:00,27478.7500,27492.2500,27478.7500,27489.0000,1879
2026-04-27 19:20:00,27489.0000,27494.7500,27487.0000,27493.2500,1229
2026-04-27 19:25:00,27493.5000,27494.0000,27488.0000,27490.7500,874
2026-04-27 19:30:00,27490.5000,27495.0000,27486.2500,27492.7500,1285
2026-04-27 19:35:00,27492.2500,27500.5000,27491.7500,27500.5000,1584
2026-04-27 19:40:00,27500.7500,27504.7500,27496.0000,27498.0000,1811
2026-04-27 19:45:00,27498.0000,27500.2500,27487.7500,27491.7500,1973
2026-04-27 19:50:00,27492.0000,27492.0000,27484.7500,27491.5000,1384
2026-04-27 19:55:00,27490.7500,27492.7500,27485.7500,27489.5000,1006
2026-04-27 20:00:00,27490.0000,27499.0000,27480.2500,27483.2500,4242
2026-04-27 20:05:00,27483.5000,27511.5000,27482.0000,27505.5000,4420
2026-04-27 20:10:00,27506.5000,27512.5000,27498.7500,27501.7500,2958
2026-04-27 20:15:00,27501.7500,27501.7500,27483.2500,27486.0000,3481
2026-04-27 20:20:00,27486.2500,27489.7500,27479.2500,27485.5000,2326
2026-04-27 20:25:00,27486.2500,27487.5000,27450.7500,27464.7500,6634
2026-04-27 20:30:00,27465.0000,27475.7500,27456.2500,27463.2500,4278
2026-04-27 20:35:00,27463.5000,27472.0000,27459.5000,27470.2500,1801
2026-04-27 20:40:00,27469.5000,27478.7500,27469.5000,27475.2500,2566
2026-04-27 20:45:00,27475.2500,27481.2500,27473.5000,27477.7500,1596
2026-04-27 20:50:00,27478.0000,27478.0000,27468.5000,27472.0000,1647
2026-04-27 20:55:00,27472.2500,27475.5000,27467.0000,27467.7500,1166
2026-04-27 21:00:00,27468.2500,27473.5000,27451.7500,27461.2500,4270
2026-04-27 21:05:00,27461.2500,27466.2500,27450.0000,27455.2500,2633
2026-04-27 21:10:00,27456.2500,27464.5000,27454.7500,27460.7500,1708
2026-04-27 21:15:00,27461.7500,27464.7500,27456.7500,27457.5000,1116
2026-04-27 21:20:00,27457.5000,27465.7500,27453.7500,27463.0000,1443
2026-04-27 21:25:00,27463.0000,27472.2500,27463.0000,27470.0000,1871
2026-04-27 21:30:00,27470.5000,27471.2500,27457.7500,27464.0000,1841
2026-04-27 21:35:00,27464.7500,27480.7500,27463.7500,27476.5000,2301
2026-04-27 21:40:00,27477.0000,27485.0000,27476.0000,27479.2500,1744
2026-04-27 21:45:00,27479.5000,27481.5000,27456.2500,27458.7500,2635
2026-04-27 21:50:00,27458.2500,27458.7500,27433.0000,27448.5000,5421
2026-04-27 21:55:00,27449.0000,27450.7500,27417.5000,27421.7500,5293
2026-04-27 22:00:00,27422.7500,27427.0000,27411.5000,27415.0000,4563
2026-04-27 22:05:00,27415.0000,27431.7500,27414.5000,27427.7500,2430
2026-04-27 22:10:00,27427.7500,27434.0000,27427.0000,27431.0000,1746
2026-04-27 22:15:00,27431.5000,27435.5000,27427.0000,27433.7500,1272
2026-04-27 22:20:00,27432.5000,27436.7500,27429.0000,27431.2500,1330
2026-04-27 22:25:00,27431.5000,27434.7500,27423.7500,27429.7500,2177
2026-04-27 22:30:00,27430.2500,27430.2500,27412.5000,27421.7500,2940
2026-04-27 22:35:00,27420.7500,27423.0000,27406.5000,27406.5000,2106
2026-04-27 22:40:00,27406.5000,27411.2500,27402.2500,27408.0000,2110
2026-04-27 22:45:00,27408.0000,27410.0000,27400.0000,27403.0000,1944
2026-04-27 22:50:00,27403.0000,27413.5000,27402.7500,27406.7500,1592
